P1,P2,P3,P4,x1,y1,z1,x2,y2,z2,r,label
0,0,1,1,-0.29,-9.7,3.97,0.08,-9.31,0.27,161,1
0,0,1,1,0.05,-9.51,4.45,0.27,-9.05,-0.67,151,1
0,0,1,1,0.78,-9.48,6.54,1.96,-8.99,2.08,146,2
0,0,1,1,5.77,-6.85,3.06,-0.24,-8.95,6.86,144,2
0,0,1,1,0.45,-9.52,-0.36,0.39,-9.85,2.25,143,2
0,0,1,1,-0.97,-8.39,-5.45,-0.64,-9.14,0.33,137,2
0,0,1,1,1.03,-9.23,3.42,-0.89,-9.8,0.65,137,2
0,0,1,1,-0.28,-11.87,2.4,-1.24,-9.23,0.02,137,2
0,0,1,1,-0.75,-11.78,2.68,-2.48,-9.77,0.17,137,2
0,1,0,1,4.34,-7,7.39,-1.77,-9.45,-0.16,137,2
0,1,0,1,-2.71,-9.44,-8.73,-0.76,-14.87,-0.61,137,2
0,1,0,1,-0.84,-9.57,0.18,1.34,-11.28,2.84,174,2
1,1,0,0,-0.74,-9.88,2.31,-6.69,-5.74,-2.89,248,2
1,1,0,0,-3.7,-10.79,-0.59,-4.62,-7.83,-2.67,305,2
1,1,0,0,-1.5,-9.87,1,-1.28,-5.76,-0.41,325,2
1,1,0,0,0.3,-9.66,3.59,-2.86,-9.78,-1.45,329,3
1,1,0,0,-0.39,-9.95,6.32,-1.51,-7.29,2.97,328,3
1,1,0,0,6.34,-8.52,1.51,-3.73,-9.72,1.73,328,3
1,1,0,0,0.49,-9.26,1.74,-0.79,-7.82,0.85,328,4
1,1,0,0,-0.44,-9.43,1.5,-2.9,-8.2,0.38,312,4
1,1,0,0,-1.17,-10.58,-2.6,-6.77,-9.2,-2.55,264,4
1,1,0,0,-1.22,-9.92,-0.14,-1.07,-9.92,1.96,204,4
1,1,0,0,-0.76,-9.95,0.56,-6.65,-9.82,-8.89,138,4
1,0,1,0,-1.07,-10.24,0.72,7.99,-6.99,3.51,135,4
1,0,1,0,-3.41,-11.25,-2.24,5.58,-12.19,0.66,135,4
1,0,1,0,-2.19,-15.48,3.65,-2.56,-9.99,-2.63,136,4
0,0,1,0,-6.2,-10.09,-0.51,1.58,-10.81,-0.27,135,4
0,0,1,1,-2,-7.46,-17.1,-0.36,-9.29,-0.58,135,4
0,0,1,1,1.82,-8.08,-0.4,4.61,-9.86,6.45,135,1
0,0,1,1,1.15,-9.86,-0.23,0.39,-9.12,-0.74,122,1
0,0,1,1,-0.35,-8.08,5.97,-0.49,-9.08,-0.9,114,1
0,0,1,1,0.09,-8.69,1.26,3.52,-9.31,5.14,107,1
0,0,1,1,1.08,-8.91,2.24,0.38,-9.75,0.2,103,2
0,0,1,1,0.85,-7.72,2.23,-0.43,-9.28,1.14,104,2
